OBJECTID,VEHICLES,YEAR_OF_RE,ACCIDENT_D,ACCIDENT_1,ACCIDENT_H,LEG,HOUSE_NUMB,RB_NUMBER,DRIVER1_AG,DRIVER2_AG,DRIVER1_SE,DRIVER2_SE,VEHICLE1_T,VEHICLE2_T,NUM_INJURI,INJURY_F,INJURY_PI1,INJURY_PI2,INJURY_PI3,DIRECTION1,DIRECTION2,VEHICLE1_C,VEHICLE2_C,CIRCUMSTAN,CIRCUMST_1,DANGER_UNS,DANGER_U_1,DRIVER1_CO,DRIVER2_CO,PED_AGE,PED_SEX,PED_CONDIT,PED_ACTION,ROAD_CONDI,WEATHER,PROBLEM_EL,ACCIDENT_T,ENTER_DATE,Editor,STATUS,Location 1
38909,2,2008,09/25/2008 07:00 AM +0000,5,6,IN,,v63649,64,48,M,M,PA,BI,1,0,1,0,0,N,E,0,0,2,,0,0,N,N,0,,,,D,C,NS,10,12/19/2008 08:00 AM +0000,Rathbun,1,"93rd and Western Ave
Omaha, NE 68104
(41.270304143749854, -96.05731186933735)"
38952,2,2008,09/27/2008 07:00 AM +0000,7,17,IN,,v64282,25,22,M,M,PA,BI,1,0,0,0,1,W,S,0,0,,,0,0,N,N,0,,,,D,C,NS,10,12/30/2008 08:00 AM +0000,Rathbun,1,"38th and Dodge
Omaha, NE 68104
(41.295230000000004, -96.00216)"
38972,2,2008,09/28/2008 07:00 AM +0000,1,16,IN,,v64514,0,17,F,M,PA,BI,1,0,1,0,0,S,W,0,0,2,,0,0,U,N,0,,,,D,C,NS,10,12/30/2008 08:00 AM +0000,Rathbun,1,"60th and Center
Omaha, NE 68104
(41.295230000000004, -96.00216)"
39007,2,2008,09/29/2008 07:00 AM +0000,2,18,IN,,v64739,17,0,F,F,PA,BI,0,0,0,0,0,S,E,0,0,2,,7,0,N,N,0,,,,D,C,NS,10,12/31/2008 08:00 AM +0000,Rathbun,1,"159th Ave and Pacific
Omaha, NE 68104
(41.24858551674225, -96.1629372416786)"
39008,2,2008,09/29/2008 07:00 AM +0000,2,19,IN,,v64746,50,17,F,M,PA,BI,1,0,1,0,0,W,N,0,0,,2,0,0,N,N,0,,,,D,C,NS,10,12/31/2008 08:00 AM +0000,Rathbun,1,"33rd and L
Omaha, NE 68104
(41.295230000000004, -96.00216)"
39052,2,2008,09/30/2008 07:00 AM +0000,3,18,IN,,v65035,61,37,F,M,PA,BI,1,0,0,1,0,N,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,01/02/2009 08:00 AM +0000,Rathbun,1,"51st and Burt
Omaha, NE 68104
(41.295230000000004, -96.00216)"
39059,2,2008,10/01/2008 07:00 AM +0000,4,19,IN,,v65368,0,0,M,M,TR,BI,0,0,0,0,0,N,E,0,0,,,0,0,U,N,0,,,,D,C,NS,10,01/02/2009 08:00 AM +0000,Rathbun,1,"Turner Blvd and Leavenworth
Omaha, NE 68104
(41.25238964892617, -95.96258627999117)"
39132,2,2008,10/02/2008 07:00 AM +0000,5,17,MB,,v65659,22,8,M,M,PA,BI,1,0,0,1,0,N,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,01/06/2009 08:00 AM +0000,Rathbun,0,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
39246,2,2008,10/06/2008 07:00 AM +0000,2,13,IN,,v66559,29,30,F,M,PA,BI,1,0,1,0,0,E,N,0,0,,,0,0,N,N,0,,,,D,O,NS,10,01/12/2009 08:00 AM +0000,Rathbun,1,"30th and Taylor
Omaha, NE 68104
(41.295230000000004, -96.00216)"
39283,2,2008,10/07/2008 07:00 AM +0000,3,17,MB,,v67102,20,48,F,M,PA,BI,1,0,1,0,0,E,S,0,0,,,0,0,N,N,0,,,,D,C,NS,10,01/12/2009 08:00 AM +0000,Rathbun,0,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
39523,2,2008,10/13/2008 07:00 AM +0000,2,7,IN,,v68455,55,15,F,M,PA,BI,1,0,1,0,0,E,S,0,0,2,,0,0,N,N,0,,,,W,R,NS,69,01/21/2009 08:00 AM +0000,Rathbun,1,"156th and Q
Omaha, NE 68104
(41.295230000000004, -96.00216)"
39767,2,2008,10/20/2008 07:00 AM +0000,2,14,IN,,v70487,57,0,F,,TR,BI,0,0,0,0,0,E,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,01/29/2009 08:00 AM +0000,Rathbun,1,"30th and Scott Circle
Omaha, NE 68104
(41.32593620448233, -95.95749611730531)"
40162,2,2008,10/30/2008 07:00 AM +0000,5,15,IN,,v73308,45,27,F,M,PA,BI,1,0,0,1,0,W,S,0,0,2,,0,0,N,N,0,,,,D,C,NS,10,02/12/2009 08:00 AM +0000,Rathbun,1,"Northwest Radial Hwy and Blondo
Omaha, NE 68104
(41.27777750981335, -95.98355846971447)"
40191,2,2008,10/31/2008 07:00 AM +0000,6,21,IN,,v73835,0,23,M,M,PA,BI,1,0,1,0,0,W,W,0,0,,,0,0,N,N,0,,,,D,C,NS,69,02/17/2009 08:00 AM +0000,Rathbun,1,"48th and Cuming
Omaha, NE 68104
(41.295230000000004, -96.00216)"
40276,2,2008,11/02/2008 07:00 AM +0000,1,0,IN,,v74093,48,16,M,M,TR,BI,1,0,0,1,0,S,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,02/19/2009 08:00 AM +0000,Rathbun,1,"66th and Franklin
Omaha, NE 68104
(41.27501659118337, -96.0143422627774)"
40515,2,2008,11/08/2008 08:00 AM +0000,1,15,IN,,v75636,38,10,F,M,PA,BI,1,0,0,1,0,E,S,0,0,,,0,0,N,N,0,,,,D,O,NS,10,03/02/2009 08:00 AM +0000,Rathbun,1,"108th and Sahler
Omaha, NE 68104
(41.295230000000004, -96.00216)"
40661,2,2008,11/11/2008 08:00 AM +0000,3,18,IN,,v76437,45,12,M,M,PA,BI,1,0,1,0,0,N,E,0,0,7,,0,0,N,N,0,,,,W,O,NS,10,03/09/2009 07:00 AM +0000,Rathbun,1,"138th and Larimore Ave
Omaha, NE 68104
(41.295230000000004, -96.00216)"
41186,2,2008,11/28/2008 08:00 AM +0000,6,18,IN,,v80599,23,0,M,M,PA,BI,0,0,0,0,0,W,S,0,0,,7,0,0,N,N,0,,,,D,C,NS,10,03/23/2009 07:00 AM +0000,Rathbun,1,"14th and Howard
Omaha, NE 68104
(41.295230000000004, -96.00216)"
41345,2,2008,12/01/2008 08:00 AM +0000,2,15,IN,,v81250,29,49,M,M,PA,BI,1,0,0,0,1,N,E,0,0,,,0,0,N,N,0,,,,D,C,NS,12,03/26/2009 07:00 AM +0000,Rathbun,1,"Locust and Carter Lake Shore Drive
Omaha, NE 68104
(41.285080004691224, -95.93015672761459)"
41523,2,2008,12/05/2008 08:00 AM +0000,6,18,IN,,v82317,28,49,F,M,PA,BI,1,0,1,0,0,N,E,0,0,2,,0,0,N,N,0,,,,D,C,NS,10,04/01/2009 07:00 AM +0000,Rathbun,1,"West Center Road and West Center Frontage Road
Omaha, NE 68104
(41.23404347952845, -96.22433395661892)"
41584,2,2008,12/08/2008 08:00 AM +0000,2,15,IN,,v83008,44,47,M,M,PA,BI,1,0,1,0,0,S,E,0,0,2,,0,0,N,N,0,,,,D,O,NS,10,04/02/2009 07:00 AM +0000,Rathbun,1,"83rd and Maple
Omaha, NE 68104
(41.295230000000004, -96.00216)"
2752,2,2009,02/13/2009 08:00 AM +0000,6,18,MB,6304,x00180,43,14,M,M,PA,BI,1,0,1,0,0,E,N,0,0,,,0,0,N,N,0,,,,S,S,NS,10,06/24/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
3170,2,2009,02/26/2009 08:00 AM +0000,4,20,IN,,x03165,24,35,F,M,PA,BI,1,0,0,0,1,N,E,0,0,,19,0,0,N,D,0,,,,D,C,NS,10,07/09/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
3510,2,2009,03/06/2009 08:00 AM +0000,6,15,IN,,x05559,0,19,,M,PA,BI,1,0,1,0,0,E,N,0,0,,,0,0,U,N,0,,,,D,C,NS,10,07/20/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
4044,2,2009,03/26/2009 07:00 AM +0000,5,16,IN,,x10435,0,0,F,F,PA,BI,0,0,0,0,0,N,W,0,0,2,,0,0,N,N,0,,,,D,C,NS,10,08/05/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
4065,2,2009,03/27/2009 07:00 AM +0000,6,7,IN,,x10596,38,18,F,M,PA,BI,1,0,0,1,0,E,S,0,0,,2,0,0,N,N,0,,,,D,O,NS,12,08/06/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
4377,2,2009,04/06/2009 07:00 AM +0000,2,23,IN,,x13360,53,51,M,M,PA,BI,1,0,0,1,0,W,E,0,0,,19,0,0,N,D,0,,,,D,C,NS,10,08/18/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
4444,2,2009,04/08/2009 07:00 AM +0000,4,18,IN,,x13902,36,14,F,M,PA,BI,1,0,0,1,0,W,S,0,0,,,0,0,N,N,0,,,,D,C,NS,10,08/19/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
4683,2,2009,04/15/2009 07:00 AM +0000,4,18,IN,,x15714,57,13,F,F,PA,BI,2,0,0,2,0,N,E,0,0,12,,0,0,N,N,0,,,,D,C,NS,10,09/08/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
4972,2,2009,04/24/2009 07:00 AM +0000,6,18,MB,,x18301,29,0,M,M,PA,BI,0,0,0,0,0,N,N,0,0,,,0,0,N,N,0,,,,D,C,NS,0,09/18/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
5781,2,2009,05/05/2009 07:00 AM +0000,3,16,IN,,x21245,42,0,F,,PA,BI,0,0,0,0,0,W,S,0,0,2,,0,0,N,U,0,,,,D,O,NS,10,10/08/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
5795,2,2009,05/05/2009 07:00 AM +0000,3,17,IN,,x21249,28,25,M,M,PA,BI,1,0,0,0,1,N,E,0,0,,,0,0,N,N,0,,,,D,C,NS,10,10/08/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
6259,2,2009,05/07/2009 07:00 AM +0000,5,20,IN,,x21917,0,0,F,M,PA,BI,1,0,1,0,0,S,E,0,0,,,0,0,U,N,0,,,,D,C,NS,10,10/14/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
6383,2,2009,05/11/2009 07:00 AM +0000,2,18,IN,,x22841,45,49,M,M,PA,BI,1,0,0,1,0,N,E,0,0,2,,0,0,N,N,0,,,,D,O,NS,10,10/20/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
6511,2,2009,05/14/2009 07:00 AM +0000,5,0,IN,,x23524,23,55,M,M,PA,BI,1,0,0,1,0,E,W,0,0,,,0,0,N,N,0,,,,D,C,CD,13,10/23/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
6944,2,2009,05/16/2009 07:00 AM +0000,7,8,IN,,x24085,44,43,M,M,PA,BI,1,0,0,1,0,E,W,0,0,2,,0,0,N,N,0,,,,D,O,NS,13,10/27/2009 07:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
7181,2,2009,05/23/2009 07:00 AM +0000,7,15,IN,,x26008,56,16,F,M,PA,BI,1,0,0,1,0,W,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,11/05/2009 08:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
7790,2,2009,05/30/2009 07:00 AM +0000,7,18,MB,1615,x27862,32,8,F,M,PA,BI,1,0,0,0,1,E,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,11/17/2009 08:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
7907,2,2009,06/03/2009 07:00 AM +0000,4,17,IN,,x29225,35,0,F,M,PA,BI,0,0,0,0,0,N,W,0,0,,,0,0,N,U,0,,,,D,C,NS,10,11/19/2009 08:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
7979,2,2009,06/05/2009 07:00 AM +0000,6,20,IN,,x29544,0,12,,M,PA,BI,1,0,0,0,1,E,,0,0,,,0,0,U,N,0,,,,D,C,NS,10,11/23/2009 08:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
7991,2,2009,06/05/2009 07:00 AM +0000,6,16,IN,,x29487,40,13,M,M,PA,BI,1,0,0,1,0,E,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,11/23/2009 08:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
8007,2,2009,06/05/2009 07:00 AM +0000,6,23,IN,,x29600,0,52,,M,PA,BI,1,0,0,1,0,E,S,0,0,,,0,0,U,N,0,,,,D,C,NS,10,11/23/2009 08:00 AM +0000,Rathbun,,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
12525,2,2009,06/27/2009 07:00 AM +0000,7,15,IN,,x35480,32,8,F,M,PA,BI,1,0,0,0,1,S,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,02/11/2010 08:00 AM +0000,Rathbun,41st and N,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
12600,2,2009,06/30/2009 07:00 AM +0000,3,17,IN,,x36243,39,16,M,M,PA,BI,0,0,0,0,0,W,S,0,0,,,0,0,N,U,0,,,,D,C,NS,10,02/18/2010 08:00 AM +0000,Rathbun,90th and Grant,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
13524,2,2009,07/06/2009 07:00 AM +0000,2,16,IN,,x37740,0,0,F,,PA,BI,1,0,0,1,0,N,W,0,0,,,0,0,U,N,0,,,,D,C,NS,10,03/04/2010 08:00 AM +0000,Rathbun,78th and West Center Road,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
15297,2,2009,07/17/2009 07:00 AM +0000,6,5,IN,,x40363,28,42,M,M,PA,BI,1,0,1,0,0,S,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,03/15/2010 07:00 AM +0000,Rathbun,175th Ave and Frances,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
15326,2,2009,07/19/2009 07:00 AM +0000,1,18,IN,,x40969,30,8,M,M,PA,BI,0,0,0,0,0,W,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,03/16/2010 07:00 AM +0000,Rathbun,34th and V,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
16273,2,2009,07/27/2009 07:00 AM +0000,2,21,IN,,x43124,20,35,F,M,PA,BI,1,0,0,1,0,W,S,0,0,,,0,0,N,N,0,,,,D,C,NS,10,03/24/2010 07:00 AM +0000,Rathbun,13th and Leavenworth,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
16280,2,2009,07/27/2009 07:00 AM +0000,2,15,IN,,x43027,20,11,F,M,PA,BI,1,0,1,0,0,E,N,0,0,,,0,0,N,N,0,,,,D,O,NS,10,03/24/2010 07:00 AM +0000,Rathbun,30th and Read,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
17571,2,2009,08/04/2009 07:00 AM +0000,3,9,IN,,x45121,38,25,F,M,PA,BI,1,0,1,0,0,E,W,0,0,2,,0,0,N,N,0,,,,D,O,NS,13,04/02/2010 07:00 AM +0000,Rathbun,California and Saddle Creek Road,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
17573,2,2009,08/04/2009 07:00 AM +0000,3,12,MB,,x45273,36,15,M,M,PA,BI,1,0,1,0,0,E,S,0,0,,,0,0,N,N,0,,,,N,N,NS,10,04/05/2010 07:00 AM +0000,Rathbun,154th and Piedmont Drive,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
17593,2,2009,08/06/2009 07:00 AM +0000,5,17,MB,,x45845,66,0,M,,PA,BI,0,0,0,0,0,S,E,0,0,,,0,0,N,N,0,,,,D,C,NS,10,04/05/2010 07:00 AM +0000,Rathbun,24th and Ames Ave,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
18107,2,2009,08/11/2009 07:00 AM +0000,3,14,IN,,x47105,26,14,M,M,PA,BI,1,0,1,0,0,E,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,04/09/2010 07:00 AM +0000,Rathbun,127th and Ellison Ave,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
18545,2,2009,08/12/2009 07:00 AM +0000,4,17,IN,,x47432,39,11,F,M,PA,BI,1,0,0,0,1,S,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,04/12/2010 07:00 AM +0000,Rathbun,Q and Harry Andersen Ave,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
18552,2,2009,08/12/2009 07:00 AM +0000,4,14,IN,,x47376,43,11,M,M,PA,BI,1,0,0,0,1,W,S,0,0,,,0,0,N,N,0,,,,D,C,NS,10,04/12/2010 07:00 AM +0000,Rathbun,39th and Kansas Ave,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
18612,2,2009,08/14/2009 07:00 AM +0000,6,15,IN,,x47991,59,37,F,F,PA,BI,1,0,0,1,0,S,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,04/14/2010 07:00 AM +0000,Rathbun,Morrison Drive and Leawood Drive,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
19091,2,2009,08/17/2009 07:00 AM +0000,2,16,MB,,x48647,58,17,F,M,PA,BI,1,0,0,1,0,N,W,0,0,2,,0,0,N,N,0,,,,D,C,NS,13,04/20/2010 07:00 AM +0000,Rathbun,Military Ave and Benson Park Drive,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
20045,2,2009,08/24/2009 07:00 AM +0000,2,8,IN,,x50315,62,26,F,M,PA,BI,1,0,0,1,0,N,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,04/28/2010 07:00 AM +0000,Rathbun,Holling Drive and Pacific,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
20134,2,2009,08/27/2009 07:00 AM +0000,5,17,MB,,x51452,52,42,M,M,BI,PA,1,0,1,0,0,N,E,0,0,,,0,0,N,N,0,,,,D,C,AL,10,05/04/2010 07:00 AM +0000,Rathbun,16th and Mike Fahey,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
20536,2,2009,08/27/2009 07:00 AM +0000,5,16,IN,,x51354,36,28,F,M,PA,BI,1,0,0,0,1,N,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,05/05/2010 07:00 AM +0000,Rathbun,46th Ave and L,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
22704,2,2009,09/05/2009 07:00 AM +0000,7,10,IN,,x53669,47,64,M,M,BI,PA,1,0,0,1,0,N,W,0,0,,,0,0,N,N,0,,,,D,C,NS,10,05/19/2010 07:00 AM +0000,Rathbun,16th and William,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
22735,2,2009,09/06/2009 07:00 AM +0000,1,14,IN,,x53926,44,84,F,F,PA,BI,1,0,1,0,0,W,S,0,0,,,0,0,N,N,0,,,,D,C,NS,10,05/20/2010 07:00 AM +0000,Rathbun,90th and Fort,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
23713,2,2009,09/15/2009 07:00 AM +0000,3,12,MB,,x56407,48,13,F,M,PA,BI,1,0,0,1,0,W,N,0,0,,,0,0,N,N,0,,,,D,C,NS,10,06/01/2010 07:00 AM +0000,Rathbun,40th and Hamilton,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
24271,2,2009,09/21/2009 07:00 AM +0000,2,12,MB,,x57980,32,0,M,,BI,PA,0,0,0,0,0,N,W,0,0,,,0,0,N,U,0,,,,W,O,AL,10,06/10/2010 07:00 AM +0000,Rathbun,30th and Dodge,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
26796,2,2009,07/01/2009 07:00 AM +0000,4,17,IN,,x36564,26,23,M,M,PA,BI,1,0,0,1,0,E,E,0,0,,2,0,0,N,N,0,,,,D,C,NS,22,02/19/2010 08:00 AM +0000,Other,Westwood Lane and West Center Road,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
26833,1,2009,07/14/2009 07:00 AM +0000,3,21,IN,,x39714,27,0,F,,PA,BI,1,0,0,1,0,W,,0,0,2,,7,0,N,N,0,,,,D,C,NS,12,03/10/2010 08:00 AM +0000,Other,60th street and Center street,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
26975,2,2009,07/28/2009 07:00 AM +0000,3,13,IN,,x43566,59,59,F,M,PA,BI,1,0,1,0,0,N,N,0,0,,,0,0,N,N,0,,,,D,C,NS,20,03/25/2010 07:00 AM +0000,Other,10th street and Abbott drive,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
27030,1,2009,07/14/2009 07:00 AM +0000,3,17,IN,,x39667,0,39,NS,F,BI,PA,0,0,0,0,0,,N,0,2,,12,0,0,N,N,0,,,,D,C,NS,92,03/12/2010 08:00 AM +0000,Other,40th street and Bedford av,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
27495,2,2009,09/22/2009 07:00 AM +0000,3,8,IN,,x58209,55,23,M,M,PA,BI,1,0,0,1,0,S,W,0,0,2,,7,0,N,N,0,,,,D,C,NS,10,06/16/2010 07:00 AM +0000,Rathbun,42nd and Center,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
27502,2,2009,09/22/2009 07:00 AM +0000,3,7,IN,,x58441,43,0,M,,PA,BI,0,0,0,0,0,E,N,0,0,,,0,0,N,U,0,,,,D,C,NS,10,06/16/2010 07:00 AM +0000,Rathbun,38th and Leavenworth,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
